kanji,hanzi,meaning_vi,meaning_en,jlpt_level,onyomi,kunyomi,stroke_count,radical_utf,radical_name_ja,radical_meaning,story,num_vocab_examples,prev_kanji,next_kanji
始,THỦY,Bắt đầu,"commence, begin",N4,シ,はじ、はじまる、はじめる,8,,おんなへん,woman,Người phụ nữ (女) lên vũ đài (台) bắt đầu (始) phát biểu,6,台,治
治,TRỊ,"Trị bệnh, quản lý","reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve",N4,ジ、チ,おさ、なお、おさめる、おさまる、なおる、なおす,8,⺡,さんずい,water,Dùng nước (氵) ở vũ đài (台) để trị liệu (治),6,始,道
道,ĐẠO,"Đường, đạo lý","road-way, street, district, journey, course, moral, teachings",N4,ドウ、トウ,みち,12,⻌,しんにょう,"road, walk, to advance",Con đường (道) Thủ tướng (首) đi còn xa (辶),13,治,質
質,CHẤT,Chất lượng,"substance, quality, matter, temperament",N4,シツ、シチ、チ,"たち, ただ.す, もと, わりふ",15,⾙,かい,"shell, property, wealth",Dùng 2 rìu (斤) gõ vào bảo bối (貝) để kiểm tra chất lượng (質),4,道,星
星,TINH,Ngôi sao,"star, spot, dot, mark",N4,セイ、ショウ,ほし,9,⽇,ひ,"sun, day, time",Mặt trời (日) sinh (生) ra ngôi sao (星),3,質,持
持,TRÌ,"Cầm, giữ","hold, have",N4,ジ,も、もつ、もち,9,⺘,てへん,hand,Tay (扌) lên chùa (寺) cầm (持) theo lễ vật,8,星,待
待,ĐÃI,Chờ đợi,"wait, depend on",N4,タイ,まつ、またせる,9,⼻,ぎょうにんべん,"step, stride, street, to go",2 người đứng (彳) trên chùa (寺) đợi (待) nhau,6,持,特
文,VĂN,Văn học,"sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)",N4,ブン、モン,ふみ,4,⽂,ぶん,"literature, letters",Người có ĐẦU ( 亠) óc thường có tài NGHỆ (乂) viết VĂN (文),10,特,雪
雪,TUYẾT,Tuyết,snow,N4,セツ,ゆき,11,⻗,あめかんむり,rain,Mưa (雨) tuyết (雪) rơi dày 3 (彐) lớp,2,文,合
特,ĐẶC,Đặc biệt,special,N4,トク,,10,,うしへん,cow,Con bò ( 牜) trên chùa (寺) rất đặc biệt (特),7,待,文
合,HỢP,Hợp lại,"fit, suit, join, 0.1",N4,ゴウ、カ、ガ,あ、あう、あい、あわす、あわせる,6,⼝,くち,mouth,Người (𠆢) có 1 (一) miệng (口) là hợp (合) lý,28,雪,答
答,ĐÁP,Trả lời,"solution, answer",N4,トウ,こた、こたえ、こたえる,12,⺮,たけかんむり,bamboo,Trúc (⺮) là người thích hợp (合) đại diện trả lời (答),4,合,皿
皿,MÃNH,Cái đĩa,"dish, a helping, plate",N4,ベイ,さら,5,⽫,さら,"plate, bowl",Có một cái bánh ở trên đĩa (皿),2,答,親
親,THÂN,"Cha mẹ, người thân","parent, intimacy, relative, familiarity, dealer (cards)",N4,シン,おや、した、したしい,16,⾒,みる,to see,Đứng (立) trên cây (木) nhìn (見) người thân *bố mẹ* (親),12,皿,虫
虫,TRÙNG,Côn trùng,"insect, bug, temper",N4,チュウ,むし,6,⾍,むし,"worm, insect, bug",Trung(中) nhất (一) huyền (丶) Trùng (虫),3,親,験
験,NGHIỆM,Kiểm nghiệm,"verification, effect, testing",N4,ケン,"あかし, しるし, ため.す, ためし",18,,うまへん,horse,Tìm người (人) phù hợp (合) với ngựa (馬) để thử nghiệm (験) tốc độ,7,虫,毎
毎,MỖI,Mỗi,every,N4,マイ,ごと,6,⽏,なかれ,"not, mother",Con người đừng nằm (𠂉) vô (毋) ích mỗi (毎) ngày,6,験,海
海,HẢI,Biển,"sea, ocean",N4,カイ,うみ,9,⺡,さんずい,water,Nước (氵) mỗi ngày (毎) chảy ra biển (海),5,毎,心
心,TÂM,Trái tim,"heart, mind, spirit, heart radical (no. 61)",N4,シン,こころ,4,⼼,こころ,"heart, mind, spirit",Một vần trăng khuyết (し) 3 sao (ミ) giữa trời là chữ tâm (心),18,海,場
勉,MIỄN,Cố gắng,"exertion, endeavour, encourage, strive, make effort, diligent",N4,ベン,つと.める,10,⼒,ちから,power,Miễn (免) còn sức lực (力) thì còn cố gắng (勉),4,後,晩
後,HẬU,Sau,"behind, back, later",N4,ゴ、コウ,のち、うし、うしろ、あと、おく、おくれ,9,⼻,ぎょうにんべん,"step, stride, street, to go",2 người (彳) yêu (幺) sau (夂) (後) cùng lại chia tay,14,場,勉
場,TRƯỜNG,Nơi chốn,"location, place",N4,ジョウ,ば,12,,つちへん,earth,Xúc đất (士) vật vã (易) ở công trường (場),17,心,後
晩,VÃN,Tối,"nightfall, night",N4,バン,,12,,ひへん,"sun, day, time",Ngày (日) miễn (免) tội đi chơi đến tối (晩),4,勉,銀
銀,NGÂN,Bạc,silver,N4,ギン,しろがね,14,,かねへん,"metal, gold, mineral",Vàng (金) không tốt (良) bằng bạc (銀),2,晩,洋
洋,DƯƠNG,"Biển lớn, phương Tây","ocean, sea, foreign, Western style",N4,ヨウ,,9,⺡,さんずい,water,Nước (氵) đẩy con dê (羊) trôi ra đại dương (洋),5,銀,遅
遅,TRÌ,Trễ,"slow, late, back, later",N4,チ,おく、おそ、おくれる、おくらす、おそい、おそく,12,⻌,しんにょう,"road, walk, to advance",Xe chở xác chết (尸) con dê (羊) đi xa (辶) nên đến muộn (遅),7,洋,様
様,DẠNG,"Dáng vẻ, cách thức","Esq., way, manner, situation, polite suffix",N4,ヨウ,さま,14,,きへん,"tree, wood",Hình dạng (様) cây (木) dương (羊) xỉ mọc dưới nước (水) rất đặc biệt,14,遅,会
会,HỘI,Gặp gỡ,"meeting, meet, party, association, interview, join",N4,カイ、エ,あ、あう,6,𠆢,ひとやね,person ,Người (人) suốt 24 giờ (云) đi chơi hội (会),35,様,雲
雲,VÂN,Mây,cloud,N4,ウン,くも,12,⻗,あめかんむり,rain,Mây (雲) mưa (雨) suốt 24 giờ (云),1,会,交
交,GIAO,"Giao lưu, trao đổi","mingle, mixing, association, coming & going",N4,コウ,まじ、ま、か、まじわる、まじえる、まじる、まざる、まぜる、かう、かわす,6,⼇,なべぶた,"lid, top",Lần đầu (亠) cùng bố (父) vợ giao lưu (交),13,雲,県
夏,HẠ,Mùa hè,summer,N4,カ、ゲ,なつ,10,⼢,なつあし,to go slowly,Còn lại 1 (一) mình (自) sau (攵) mùa hạ (夏),6,宿,原
宿,TÚC,"Ở, trọ","inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling",N4,シュク,やど、やどる、やどす,11,⼧,うかんむり,"roof, house",Dưới mái nhà (宀) số người (亻) là 100 (百) muốn thuê nhà trọ (宿),3,白,夏
県,HUYỆN,"Quận, huyện",prefecture,N4,ケン,か.ける,9,⽬,め,eye,Người trên tỉnh (県) mắt (目) Lớn (L) mắt nhỏ (小),1,交,白
白,BẠCH,Màu trắng,white,N4,ハク、ビャク,しろ、しら、しろい,5,⽩,しろ,white,Sang Nhật (日) thì trắng (白),7,県,宿
原,NGUYÊN,"Gốc, nguyên nhân","meadow, original, primitive, field, plain, prairie, tundra, wilderness",N4,ゲン,はら,10,⼚,がんだれ,cliff,Thảo nguyên (原) bao trùm bởi những sườn núi (厂) màu trắng (白) nho nhỏ (小),2,夏,私
私,TƯ,Tôi,"private, I, me",N4,シ,わたし、わたくし,7,⽲,のぎへん,grain,Lúa (禾) 4 (ム) bao của tôi (私) hết,5,原,広
広,QUẢNG,Rộng,"wide, broad, spacious",N4,コウ,ひろ、ひろまる、ひろめる、ひろがる、ひろげる、ひろい、ひろさ,5,⼴,まだれ,slanting roof,Mái hiên (广) 4 (ム) mét là rộng (広),8,私,売
売,MẠI,Bán,sell,N4,バイ,う、うる,7,,さむらいかんむり,"man, scholar, samurai",Binh sĩ (士) trùm khăn (冖) chân chạy (儿) đi bán (売) hàng,9,広,青
青,THANH,Màu xanh,"blue, green",N4,セイ、ショウ,あお、あおい,8,⻘,あお,"blue, green",Ông vua lòi đầu (主) đứng ngắm trăng (月) thanh (青),3,売,晴
静,TĨNH,Yên tĩnh,quiet,N4,セイ、ジョウ,しず、しずか、しずまる、しずめる,14,⻘,あお,"blue, green",Bầu trời xanh (青) không còn chiến tranh (争) thật tĩnh lặng (静),2,晴,運
晴,TÌNH,"Trời trong, nắng",clear up,N4,セイ,は、はれる、はれ、はらす,12,,ひへん,"sun, day, time",Ngày (日) trong xanh (青) là trời nắng (晴),3,青,静
運,VẬN,"Vận động, vận mệnh","carry, luck, destiny, fate, lot, transport, progress, advance",N4,ウン,はこ、はこぶ,12,⻌,しんにょう,"road, walk, to advance",Quân đội (軍) đi xa (辶) để vận chuyển (運) hàng hóa,8,静,重
働,ĐỘNG,Làm việc,"work, (kokuji)",N4,ドウ,はたら、はたらく、はたらき,13,⺅,にんべん,person ,Người (亻) chuyển động (動) khi đang lao động (働),4,動,主
重,TRỌNG,Nặng,"heavy, important, esteem, respect, heap up, pile up, nest of boxes, -fold",N4,ジュウ、チョウ,え、おも、かさ、おもい、おもさ、おもり、おもたい、おもし、かさねる、かさなる,9,⾥,さと,"village, (3.93 km)",Dàn hoa thiên (千) lý (里) rất nặng (重),9,運,動
飯,PHẠN,Cơm,"meal, boiled rice",N4,ハン,めし,12,⻟,しょくへん,"food, to eat",Có cơm (飯) ăn (食) còn phản đối (反) gì nữa?,2,住,服
住,TRÚ,"Cư trú, ở","dwell, reside, live, inhabit",N4,ジュウ,す、すむ、すまい,7,⺅,にんべん,person ,Người (亻) làm chủ (主) nơi cư trú (住),4,主,飯
主,CHỦ,Người chủ,"lord, chief, master, main thing, principal",N4,シュ、ス,ぬし、おも、おもに、あるじ,5,⼂,てん,dot,Vua (王) là chủ (主) thiên hạ,5,働,住
動,ĐỘNG,Chuyển động,"move, motion, change, confusion, shift, shake",N4,ドウ,うご、うごく、うごかす、うごき,11,⼒,ちから,power,Trọng (重) lực (カ) tạo ra chuyển động (動),12,重,働
服,PHỤC,Quần áo,"clothing, admit, obey, discharge",N4,フク,,8,⺝,つきへん,"moon, month, period",Nguyệt (月) phản đối (反) mặc đồng phục (服),6,飯,通
通,THÔNG,"Thông qua, giao thông","traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.",N4,ツウ、ツ,とお、かよ、とおる、とおり、とおす、とおし、かよう,10,⻌,しんにょう,"road, walk, to advance",Ma (々) sử dụng (用) xe đi xa (辶) nơi ách tắc giao thông (通),25,服,家
家,GIA,Nhà,"house, home, family, professional, expert, performer",N4,カ、ケ,いえ、や,10,⼧,うかんむり,"roof, house",Dưới mái nhà (宀) lợn (豕) sống thành gia đình (家),14,通,才
才,TÀI,Tài năng,"genius, years old, cubic shaku",N4,サイ,,3,⺘,てへん,hand,Ô (才) thiên tài (才),2,家,兄
兄,HUYNH,Anh trai,"elder brother, big brother",N4,ケイ、キョウ,あに,5,⼉,ひとあし,human legs,Anh trai (兄) miệng (ロ) nói chân chạy (儿),3,才,早
早,TẢO,Sớm,"early, fast",N4,ソウ,はや、はやい、はやまる、はやめる、はやく,6,⽇,ひ,"sun, day, time",Chủ nhật (日) dậy lúc 10 (十) giờ vẫn là sớm (早),5,兄,草
草,THẢO,Cỏ,"grass, weeds, herbs, pasture, write, draft",N4,ソウ,くさ,9,⺾,くさかんむり,grass,Cô giáo Thảo (艹) sáng sớm (早) đã đi cắt cỏ (草),3,早,里
野,DÃ,"Cánh đồng, hoang dã","plains, field, rustic, civilian life",N4,ヤ,の,11,,さとへん,"village, (3.93 km)",Ông Lí (里) dự (予) đoán sắp bị dã (野),2,理,黒
里,LÍ,Làng,"ri, village, parent's home, league",N4,リ,さと,7,⾥,さと,"village, (3.93 km)",Ruộng (田) đất (土) là của ông Lí (里),2,草,理
黒,HẮC,Màu đen,black,N4,コク,くろい、くろ,11,⿊,くろ,black,Ruộng (田) bị Hoả (灬) thiêu chỉ còn lại mảnh Đất (土) màu Đen (黒),2,野,暑
暑,THỬ,Nóng,"sultry, hot, summer heat",N4,ショ,あつ、あつい、あつさ,12,⽇,ひ,"sun, day, time",Dưới ánh mặt trời (日) tác giả ( 者) đứng để thử sức nóng (暑),3,黒,都
院,VIỆN,Bệnh viện,"Inst., institution, temple, mansion, school",N4,イン,,10,⻖,こざとへん,"hill, mound",Bồ (阝) hoàn thành (完) bệnh viện (院),6,都,店
店,ĐIẾM,Cửa hàng,"store, shop",N4,テン,みせ,8,⼴,まだれ,slanting roof,Mái hiên (广) bị chiếm (占) để làm cửa hàng (店),7,院,週
理,LÝ,"Lý do, lý luận","logic, arrangement, reason, justice, truth",N4,リ,ことわり,11,,おうへん,"jewelry, jeweled king",Vua (王) giết ông Lí (里) là có lý do (理),16,里,野
週,CHU,Tuần,week,N4,シュウ,,11,⻌,しんにょう,"road, walk, to advance",Cuối tuần (週) miệng chu (周) ra đòi đi xa (辶),11,店,荷
都,ĐÔ,Thành phố,"metropolis, capital, all, everything",N4,ト、ツ,みやこ,11,⻏,おおざと,"village, country, city",Tác giả (者) đi chơi với Bồ (阝) ở kinh đô (都),4,暑,院
荷,HÀ,"Hành lý, gánh nặng","baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight",N4,カ,に,10,⺾,くさかんむり,grass,Cô giáo Thảo (艹) có cái gì (何) trong hành lý (荷),1,週,歌
羽,VŨ,Lông vũ,"feathers, counter for birds, rabbits",N4,ウ,は、わ、はね,6,⽻,はね,"feather, wing",Đôi cánh có 4 cái lông,2,歌,習
工,CÔNG,Công nhân,"craft, construction, katakana e radical (no. 48)",N4,コウ、ク,,3,⼯,たくみ,"work, carpenter, skill",Ê! Công nhân (工),3,習,空
習,TẬP,Học,learn,N4,シュウ,なら、ならう、ならい,11,⽻,はね,"feather, wing",Con chim (羽) trắng (白) đang tập (習) bay,7,羽,工
歌,CA,Hát,"song, sing",N4,カ,うた、うたう,14,⽋,あくび,"to lack, yawn",Khả năng (可) bị thiếu (欠) chính là ca hát (歌),4,荷,羽
英,ANH,"Xuất sắc, nước Anh","England, English, hero, outstanding, calyx",N4,エイ,はなぶさ,8,⺾,くさかんむり,grass,Cô giáo Thảo (艹) lên trung ương (央) dạy tiếng Anh (英),2,空,映
空,KHÔNG,Bầu trời,"empty, sky, void, vacant, vacuum",N4,クウ,そら、あ、から、むな、あく、あき、あける、から、むなしい、むなしさ,8,,あなかんむり,"hole, cave",Ở dưới cái lỗ (穴) công nhân (工) thiếu không khí (空),12,工,英
映,ÁNH,"Phản chiếu, chiếu phim","reflect, reflection, projection",N4,エイ,うつ、は、うつる、うつす、はえる,9,,ひへん,"sun, day, time",Hàng ngày (日) lên trung ương (央) để phản ánh (映),2,英,公
公,CÔNG,Công cộng,"public, prince, official, governmental",N4,コウ,おおやけ,4,,はちがしら,eight,chuyện riêng Tư (ム) mà kể cho 8 (ハ) người nghe thì thành Công (公) khai rồi,6,映,知
医,Y,"Y tế, bác sĩ","doctor, medicine",N4,イ,"い.やす, い.する, くすし",7,⼕,はこがまえ,box,Tủ đựng (匚) mũi tên (矢) là tủ y tế (医),5,知,病
辺,BIÊN,"Gần, xung quanh","environs, boundary, border, vicinity",N4,ヘン,あた、あたり、べ,5,⻌,しんにょう,"road, walk, to advance",Vác đao (刀) đi xa (辶) tuần tra biên giới (辺),2,病,切
切,THIẾT,Cắt,"cut, cutoff, be sharp",N4,セツ、サイ,き、きる、きり、きれる,4,⼑,かたな,"knife, sword",Nhất thiết phải dùng 7 (七) đao (刀) để cắt (切),17,辺,止
知,TRI,Biết,"know, wisdom",N4,チ,し、しる、しらす、しらせる,8,,やへん,arrow,Mũi tên (矢) bắn vào miệng (ロ) mà không biết (知),9,公,医
病,BỆNH,Bệnh,"ill, sick",N4,ビョウ、ヘイ,や、やむ、やみ、やまい,10,⽧,やまいだれ,sickness,Bị bệnh (疒) lần thứ 3 (丙) thì nên đi bệnh viện (病),2,医,辺
糸,MỊCH,Sợi tơ,"sợi tơ, chỉ",N4,シ,いと,6,⽷,いと,thread,YÊU (幺) ma đè lên chân chú TIỂU (小) bẹp dí thành sợi tơ (糸),3,止,近
止,CHỈ,Dừng lại,"stop, halt",N4,シ,と、や、とめる、とまる、やむ、やめる,4,⽌,とめる,to stop,"Đèn giao thông bên trên (上) còn 1 (丨) giây xanh, thì cần dừng lại (止) kẻo mất 4 củ",10,切,糸
近,CẬN,Gần,"near, early, akin, tantamount",N4,キン,ちか、ちかい、ちかく,7,⻌,しんにょう,"road, walk, to advance",Cầm rìu (斤) bước đi (⻌) để CẬN (近) chiến,8,糸,所
所,SỞ,Nơi,"place, extent",N4,ショ,ところ,8,,とだれ,door,Phá cửa ( 戸) bằng Rìu (斤)  để xây cơ SỞ (所) mới,13,近,夜
味,VỊ,Mùi vị,"flavor, taste",N4,ミ,あじ、あじわう、あじわい,8,,くちへん,mouth,Dùng miệng (ロ) vẫn chưa (未) nếm được hương vị (味) của rượu táo mèo,18,数,妹
数,SỐ,Số lượng,"number, strength, fate, law, figures",N4,スウ、ス,かず、かぞ、かぞえる,13,⺙,ぼくづくり,"activity, to strike, hit",Sau khi say rượu gạo (米) phụ nữ (女) đánh (攵) chồng lấy có số (数) má,5,夜,味
夜,DẠ,Đêm,"night, evening",N4,ヤ,よ、よる,8,⼣,ゆうべ,evening,Lần đầu (亠) nhìn thấy người (亻) cá (叉) vào buổi đêm (夜),10,所,数
客,KHÁCH,Khách,"guest, visitor, customer, client",N4,キャク、カク,,9,⼧,うかんむり,"roof, house",Dưới mái nhà (宀) các (各) vị  khách (客) đang ngồi quây dưới chiếu,6,自,若
妹,MUỘI,Em gái,younger sister,N4,マイ,いもうと,8,,おんなへん,woman,Cô gái (女) tuổi vị thành niên (未) là em gái (妹),3,味,自
若,NHƯỢC,Trẻ,"young, if, perhaps, possibly, low number, immature",N4,ジャク、ニャク,わかい、わか、も、もし,8,⺾,くさかんむり,grass,Cô giáo Thảo (艹) phải (右) trẻ (若),2,客,集
集,TẬP,Tập hợp,"gather, meet, congregate, swarm, flock",N4,シュウ,あつ、つど、あつまる、あつまり、あつめる、つどう、つどい,12,⾫,ふるとり,small bird,Chim (隹) đứng trên cây (木) tập trung (集),7,若,旅
自,TỰ,Bản thân,oneself,N4,ジ、シ,みずか、おの、みずから、おのずから,6,⾃,みずから,self,Tự (自) nhiên bụi (丿) bay vào mắt (目),19,妹,客
旅,LỮ,Du lịch,"trip, travel",N4,リョ,たび,10,,ほうへん,"direction, flag",Du lịch (旅) khắp 4 phương (方) lúc nằm (𠂉) lúc đứng (亻) lúc người (人) như bay bay,4,集,族
族,TỘC,Gia tộc,"tribe, family",N4,ゾク,,11,,ほうへん,"direction, flag",Gia tộc (旅) nhà Phương (方) nằm (𠂉) bắn tên (矢),2,旅,京
京,KINH,Thủ đô,"capital, 10**16",N4,キョウ、ケイ、キン,みやこ,8,⼇,なべぶた,"lid, top",Kinh đô (京) là nơi đầu (亠) não nên miệng (ロ) nói phải nhỏ (小) nhẹ,5,族,真
